_id,studentName,email,rollNo,password,semester,createdAt,updatedAt,__v
696c96075a15757d2cc84280,Saad Khan,saad.khan@student.com,5b-cs-03,Saad@123,6953a1206022d3b1f34bfef1,2025-01-26T08:00:00.000Z,2025-01-26T08:00:00.000Z,
696c96075a15757d2cc84281,Laiba Noor,laiba.noor@student.com,5b-cs-04,Laiba@123,6953a1206022d3b1f34bfeea,2025-01-27T08:00:00.000Z,2025-01-27T08:00:00.000Z,
696c96075a15757d2cc84282,Daniyal Akram,daniyal.akram@student.com,5b-cs-05,Daniyal@123,6953a1206022d3b1f34bfeec,2025-01-28T08:00:00.000Z,2025-01-28T08:00:00.000Z,
696c96075a15757d2cc84283,Iqra Javed,iqra.javed@student.com,5b-cs-06,Iqra@123,6953a1206022d3b1f34bfeed,2025-01-29T08:00:00.000Z,2025-01-29T08:00:00.000Z,
696c96075a15757d2cc84284,Umar Farooq,umar.farooq@student.com,5b-cs-07,Umar@123,6953a1206022d3b1f34bfeee,2025-01-30T08:00:00.000Z,2025-01-30T08:00:00.000Z,
696c96075a15757d2cc84285,Anum Tariq,anum.tariq@student.com,5b-cs-08,Anum@123,6953a1206022d3b1f34bfeef,2025-01-31T08:00:00.000Z,2025-01-31T08:00:00.000Z,
696c96075a15757d2cc84286,Shayan Raza,shayan.raza@student.com,5b-cs-09,Shayan@123,6953a1206022d3b1f34bfef0,2025-02-01T08:00:00.000Z,2025-02-01T08:00:00.000Z,
696c96075a15757d2cc84287,Komal Aziz,komal.aziz@student.com,5b-cs-10,Komal@123,6953a1206022d3b1f34bfef1,2025-02-02T08:00:00.000Z,2025-02-02T08:00:00.000Z,
696c96075a15757d2cc84288,Ahsan Rafiq,ahsan.rafiq@student.com,6b-cs-01,Ahsan@123,6953a1206022d3b1f34bfeea,2025-02-03T08:00:00.000Z,2025-02-03T08:00:00.000Z,
696c96075a15757d2cc84289,Sana Mir,sana.mir@student.com,6b-cs-02,Sana@123,6953a1206022d3b1f34bfeeb,2025-02-04T08:00:00.000Z,2025-02-04T08:00:00.000Z,
696c96075a15757d2cc8428a,Talha Naveed,talha.naveed@student.com,6b-cs-03,Talha@123,6953a1206022d3b1f34bfeec,2025-02-05T08:00:00.000Z,2025-02-05T08:00:00.000Z,
696c96075a15757d2cc8428b,Hassan Rauf,hassan.rauf@student.com,6b-cs-04,Hassan@123,6953a1206022d3b1f34bfeed,2025-02-06T08:00:00.000Z,2025-02-06T08:00:00.000Z,
696c96075a15757d2cc8428c,Eman Yousaf,eman.yousaf@student.com,6b-cs-05,Eman@123,6953a1206022d3b1f34bfeee,2025-02-07T08:00:00.000Z,2025-02-07T08:00:00.000Z,
696c96075a15757d2cc8428d,Arslan Mehmood,arslan.mehmood@student.com,6b-cs-06,Arslan@123,6953a1206022d3b1f34bfef0,2025-02-08T08:00:00.000Z,2025-02-08T08:00:00.000Z,
696c96075a15757d2cc8428e,Kiran Aslam,kiran.aslam@student.com,6b-cs-07,Kiran@123,6953a1206022d3b1f34bfef1,2025-02-09T08:00:00.000Z,2025-02-09T08:00:00.000Z,
696d126fcb44e260204784b7,asdffd,dsafds@gmail.com,6b-cs-08,$2b$10$Xepyyl0md3PGrmLJ/Ml30O4YJAWQ9wNIGE7HjrPu6/5XhDP40d/di,6953a1206022d3b1f34bfeec,2026-01-18T17:03:43.337Z,2026-01-18T17:03:43.337Z,0
696d12e1cb44e260204784ba,maaz,maaz88702@gmail.com,6b-cs-09,$2b$10$yN.5U.eexVLQBCN9yydSKOTHK4vygoNNZD3H6LTfDURZETeXBnD5y,6953a1206022d3b1f34bfef0,2026-01-18T17:05:37.027Z,2026-01-18T17:05:37.027Z,0
69cd571ee02f4374630b4c7c,test,test@gmail.com,6b-cs-10,$2b$10$45PxVFirVMuTpooaUojhrOWezjggYL9K190jiSr/n7uT3eV.yibMq,6953a1206022d3b1f34bfeeb,2026-04-01T17:34:22.052Z,2026-04-01T17:34:22.052Z,0
